circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
0146C,1,41,28,34,3
01470,1,15,17,46,42
0147A,19,455,317,548,472
0147B,39,700,586,825,328
01480,2,11,22,35,22
0148A,0,2,11,0,36
01490,1,17,15,35,14
01500,562,588,3041,3193,2575
01505,624,810,3369,4599,3118
01510,27,36,146,233,159
01520,8,17,33,65,87
0152A,183,1234,1092,1401,783
01530,4,90,83,181,42
0153A,0,10,62,63,49
01540,7,65,62,115,102
0154A,0,0,9,16,116
01550,60,624,1129,967,1136
0155A,499,758,5178,3702,4379
01560,12,267,575,759,211
0156A,548,1195,4495,4840,5472
0156B,290,422,2303,2534,4176
0156C,21,347,258,459,168
0156D,74,1132,1099,1536,619
0156E,3,44,76,72,29
01570,11,110,285,390,178
01580,123,2011,3031,4662,2398
0158A,276,433,732,1795,4325
0158B,141,622,744,1710,2259
0158C,29,798,600,1080,412
01590,8,107,239,323,179
01600,439,1043,3492,4471,2612
0160A,4,37,45,147,14
01610,49,490,956,1284,629
01620,20,84,199,305,324
01630,1,9,13,36,57
01640,27,305,708,761,331
0164A,1,0,6,4,6
01650,70,1067,2020,3139,1583
0165A,0,8,12,30,17
0165B,7,19,82,104,142
01660,17,225,694,919,224
0166A,1,1,25,40,21
01670,6,81,250,386,114
0167A,1,5,52,51,52
01680,0,7,11,22,16
0168A,0,6,5,16,38
01690,11,93,146,208,66
0170A,0,0,1,17,91
0171A,0,0,0,0,0
01740,1,27,20,49,9
0174A,0,0,0,0,0
01750,2,5,35,38,21
01760,0,14,67,75,40
01770,1,3,24,20,29
01780,131,905,2804,3303,2929
0178A,8,118,85,86,78
0178B,4,42,19,22,16
01790,31,157,555,582,491
01800,170,361,1818,2519,2037
